t soma.v(0.5)
 1062.76 -63.3111
 1063.01 -63.3431
 1063.25 -63.3746
 1063.5 -63.4057
 1063.75 -63.4363
 1064.13 -63.4823
 1064.51 -63.527
 1064.89 -63.5702
 1065.52 -63.6388
 1066.16 -63.7029
 1066.8 -63.7625
 1067.43 -63.818
 1068.07 -63.8696
 1068.7 -63.9177
 1069.34 -63.9629
 1070.32 -64.0279
 1071.31 -64.0879
 1072.29 -64.1438
 1073.98 -64.2319
 1075.66 -64.3123
 1077.35 -64.3855
 1079.03 -64.4517
 1080.72 -64.5109
 1083.41 -64.5909
 1086.09 -64.6538
 1088.78 -64.7006
 1091.47 -64.733
 1094.16 -64.7526
 1096.85 -64.7612
 1101.17 -64.7557
 1105.5 -64.7315
 1109.83 -64.6932
 1114.15 -64.6441
 1118.48 -64.5874
 1122.8 -64.5249
 1127.13 -64.4593
 1131.46 -64.3902
 1135.78 -64.3195
 1140.11 -64.2471
 1144.44 -64.1779
 1148.76 -64.1103
 1153.09 -64.0411
 1157.42 -63.9689
 1161.74 -63.8988
 1166.07 -63.8349
 1170.39 -63.7739
 1174.72 -63.709
 1179.05 -63.6425
 1183.37 -63.5827
 1186.37 -63.5452
 1189.37 -63.5057
 1192.36 -63.465
 1195.36 -63.4237
 1198.36 -63.3863
 1201.36 -63.3437
 1203.2 -63.315
 1205.05 -63.2905
 1206.9 -63.2734
 1208.75 -63.2558
 1210.6 -63.2334
 1212.45 -63.2062
 1214.3 -63.1829
 1215.57 -63.1705
 1216.84 -63.1575
 1218.11 -63.142
 1219.39 -63.1254
 1220.66 -63.1103
 1221.93 -63.0966
 1223.21 -63.0831
 1224.48 -63.0682
 1225.75 -63.0535
 1227.03 -63.0404
 1228.3 -63.0287
 1229.57 -63.0159
 1230.85 -63.0005
 1232.12 -62.9828
 1233.39 -62.967
 1234.67 -62.9545
 1235.94 -62.943
 1237.21 -62.9296
 1238.49 -62.9138
 1239.76 -62.899
 1241.03 -62.8867
 1242.31 -62.8751
 1243.58 -62.8624
 1244.85 -62.8481
 1246.12 -62.8346
 1247.4 -62.8213
 1248.67 -62.8091
 1249.94 -62.7942
 1250.81 -62.7823
 1251.68 -62.7716
 1252.54 -62.7639
 1253.41 -62.7585
 1254.28 -62.7518
 1255.14 -62.7428
 1256.01 -62.7332
 1256.88 -62.7247
 1257.74 -62.7166
 1258.61 -62.7082
 1259.48 -62.6995
 1260.34 -62.6913
 1261.21 -62.6827
 1262.07 -62.6742
 1262.94 -62.6647
 1263.81 -62.6564
 1264.67 -62.6494
 1265.54 -62.6442
 1266.41 -62.6368
 1267.01 -62.6292
 1267.61 -62.6215
 1268.21 -62.6154
 1268.81 -62.6108
 1269.41 -62.6059
 1270.01 -62.5999
 1270.61 -62.5935
 1271.64 -62.5825
 1272.66 -62.5725
 1273.69 -62.5635
 1274.71 -62.5547
 1275.74 -62.5456
 1276.76 -62.5357
 1278.61 -62.5179
 1280.45 -62.5009
 1282.29 -62.4837
 1284.14 -62.4669
 1285.98 -62.4497
 1287.83 -62.433
 1289.67 -62.4159
 1291.52 -62.3995
 1293.36 -62.3825
 1295.2 -62.3657
 1297.05 -62.349
 1302.66 -62.2997
 1308.27 -62.2508
 1313.89 -62.2024
 1319.5 -62.1546
 1329.87 -62.0666
 1340.24 -61.9798
 1350.62 -61.8948
 1366.72 -61.7637
 1382.83 -61.634
 1410.3 -61.4141
 1437.76 -61.197
 1481.48 -60.8502
 1500 -60.7041
 1500 -60.7041
 1500 -60.7592
 1500 -60.7969
 1500 -60.8374
 1500 -60.86
 1500 -60.8869
 1500 -60.8856
 1500 -60.8812
 1500 -60.8791
 1500 -60.879
 1500 -60.8796
 1500 -60.8826
 1500 -60.9006
 1500 -60.9165
 1500 -60.9427
 1500 -60.9791
 1500.01 -61.0309
 1500.01 -61.0793
 1500.02 -61.161
